,formula,target
1371,Li0.04Mg0.98Cu1.98O3,-9.641123288068638
228,CuInS2,-6.907755278982137
572,Li0.5TiO2,-18.12057615150203
1556,Ba0.68Fe6CoPb0.32O11,-8.568486485803788
1580,LaZr3Nb7Pb5O30,-26.25477709066216
286,DyCoO3,-8.294049640102028
1225,La0.8Sm0.2MnO3,-1.2729656758128873
1497,KNb0.995Al0.005O3,-18.420680743952367
1541,K0.32Na0.66Bi3S5,-6.2659013928097425
1561,SmTi0.8TaSn0.2O6,-8.394975558691987
660,Li0.33La0.67MnO3,5.41610040220442
135,Sb4Te3,12.611537753638338
961,Li5.5La3Nb1.75In0.25O12,-6.437751649736401
432,Sr1.9CuBi2.1O6,9.560997243589352
1398,Nb0.5Fe0.5PbO3,-13.41004544985611
211,CaTiO3,-17.38749626060671
1519,Ge7Bi2Te10,11.184421397998193
1459,Co2.8Rh1.2Sb12,9.305650551780507
88,VSe2,14.557447902693651
1431,Pb0.5Sn0.5Te,13.122363377404328
1546,Ag0.25Cd0.5Ga0.05In0.2S,4.605170185988092
298,Ag0.5Bi0.5S,8.556413904569519
799,KBi6.33S10,8.748304912379623
406,In2TeSe2,-6.907755278982137
579,YbN,13.934626038854436
1623,BaFe16Co2O27,-7.600902459542082
1373,MoBi2O6,-8.111728083308073
1026,Ca4.74Ir3O12,4.468204330914934
353,Be12Ta,14.635290389457586
1378,Li0.11Ti0.89N0.72O0.58,7.3777589082278725
1125,Mg1.33La2Ta0.67O6,-16.596131451901318
1266,TiV0.5Ni0.5Sn,11.002099841204238
587,BaFe6CoO11,-6.406979991069647
790,Sr0.5Ce0.5VO3,6.052089168924417
45,Cu9S5,10.043249494911286
724,Ce4Fe2.027Al6.973Si8,13.500799813124575
1201,ScCo0.93Sb,13.444446876573442
1480,Li1.1Hf1.9Cr0.1PO43,-3.270169119255751
634,Li0.5La0.5TiO3,-2.676551534042839
192,Ag3AsS3,-7.5810998322459024
1011,AgCuHgI4,-8.078938260485081
1468,Co4In0.16Ge0.05Sb11.95,10.51867319162636
1017,Ti6FeBi9O27,-12.066310703155015
698,Cu0.39UTe3,10.239959789157341
555,SnCl2H2O2,-9.210340371976182
993,AgBi2.7Sb0.3S5,10.165851817003619
110,Ge2Bi2Te5,11.156250521031495
902,Sr0.2Pr0.8CoO3,11.05089000537367
510,BaBiO3,1.0647107369924282
584,ReO2,7.27931883541462
1082,La2Fe0.05Ni0.95O4,7.90100705199242
984,TlI,-16.11809565095832
730,Li0.18La0.61TiO3,-3.146555163288575
612,NaGdS2,7.02108396428914
321,Na0.5Y0.5F2,29.135098512704822
62,PbSe,7.261927092702751
146,As2Se3,-24.298816605753345
952,W0.5Mo0.5SeS,-5.744604469176456
1070,LaFe0.5Rh0.5O3,-5.115995809754082
1659,LiCu0.4Ni0.6VO4,-7.888584531993863
1343,Mn0.25Sn0.75Bi2Se4,8.45531778769815
512,CuMn2O4,-2.3025850929940455
56,In2S3,-1.1973282616072674
142,SrPbO3,-0.916290731874155
1574,LiCrTeO4,-17.890052492890195
