formula,band_gap (MP)
Na2MnO2,0.7000000000000002
CaMnSi2O7,0.7001
Li4V3P8O29,0.7001999999999999
Co6OF11,0.7002000000000002
Li9Mn7O16,0.7002999999999999
Li3Cu3(PO4)2,0.7003000000000004
SrTaNO2,0.7003000000000004
Ba3(NaSb2)2,0.7003999999999997
NdLuS3,0.7004999999999999
AlGaAs2,0.7004999999999999
Mg4Mn5(TeO6)3,0.7005999999999997
CaFeBiO5,0.7006000000000001
K2Ni3S4,0.7006000000000001
Li9Mn2Co5O16,0.7006999999999999
KMn2P2HO9,0.7007000000000001
MgW2(BrO)4,0.7007000000000001
Rb2CuSbI6,0.7008000000000001
BaCa2(CoN2)2,0.7009000000000001
Ba2Mg(BiO3)2,0.7009999999999996
Sm3CuSe6,0.7010000000000001
Li3MnV(PO4)3,0.7010999999999998
Li5FeS4,0.7011000000000001
Sr3Fe2MoO9,0.7011000000000003
Sr3GaAs3,0.7012
Li3V3(BO5)2,0.7012
LiCuS,0.7014999999999998
Li2Cr3SnO8,0.7014999999999998
YCrO4,0.7015
K3Zr4Ag2F23,0.7016999999999999
Na4Co2O5,0.7017
MgTi3(SnO4)3,0.7017000000000007
MgTi2S5,0.7018
LaMn2CdO6,0.7018000000000004
UN2O7,0.7019
K2LiH2(SeO3)2,0.7019000000000001
KMg14CO16,0.7019000000000002
FeBiO3,0.7019000000000002
CoPO4,0.7021
Li4Mn3O5F3,0.7021999999999999
Sn7GeN6,0.7022000000000004
V2CdO10,0.7022999999999999
TiV4FeO12,0.7023000000000001
Li4MnCo2NiO8,0.7024000000000004
CdSnPd2,0.7024000000000004
LiCoSiO4,0.7024999999999999
LiMo2(PO4)3,0.7024999999999999
Li4V3P8O29,0.7025
Li3MnV(PO4)3,0.7026999999999999
LaSm(CoO3)2,0.7027000000000001
MgCr4Hg4(H2O9)2,0.7027000000000001
Ba2LaMgTa(CuO4)2,0.7027000000000001
Nb3TeCl7,0.7027000000000001
CaCu3(GeO3)4,0.7027999999999999
CoPNO10,0.7028
CsCu3GeSe4,0.7029999999999998
KLiWO5,0.7030999999999998
K2MnPCO7,0.7031
KSn,0.7031000000000001
FeSiO3,0.7031000000000001
CaAl2H4Pb2(O2F3)2,0.7031000000000001
Li9Co9O17,0.7031999999999998
Sr13Mn8O30,0.7031999999999998
Nb(Te2I3)2,0.7032000000000003
Li3Mn2(SeO3)4,0.7033
KNaMg6O7,0.7033
Lu2CdSe4,0.7033000000000003
Ga2CoO4,0.7034000000000002
Li7Mn2(CoO4)3,0.7034000000000002
SmTlTe2,0.7035999999999998
CaMn9CdO10,0.7037
Ni3SnH12(OF)6,0.7037000000000001
Fe39Si3O56,0.7038000000000002
Tb2Ti2S2O5,0.7039
KSe,0.7039
Mg30MnCrO32,0.7039000000000009
Pr5S2N3Cl2,0.7040000000000002
HfMg6WO8,0.7040000000000006
Si7PdN10,0.7040999999999995
Rb4CuSi2O7,0.7041
NaCa2Sn2PS5O24,0.7042
Li3La7(FeO8)2,0.7042000000000002
NiH6(SO6)2,0.7043999999999999
Yb11AlSb9,0.7045000000000003
Li7Mn5O12,0.7046000000000001
Li5Mn3O8,0.7046000000000001
Li4MnV3(PO4)4,0.7046000000000001
Cs2Cu3SnF12,0.7047
Li2V3O6,0.7047000000000003
CaH2,0.7047000000000003
MgFe4O5F3,0.7048000000000001
CaMnFeBiO6,0.7048999999999994
MgV4(OF2)4,0.7050999999999998
TaSi2H35(C3N)4,0.7052
TlSbPbS3,0.7052
ErC3O8,0.7052
Li3NbP3O11,0.7053000000000003
NaCrO2,0.7054
Cs3Pb4Au,0.7054
Li7Mn4CoO12,0.7054999999999998
GaCuS2,0.7056000000000004
BaZrInSbO6,0.7056999999999993
Al(Ag3S2)3,0.7057
ZrCrAgS4,0.7057000000000002
Li9Mn2Co5O16,0.7057000000000002
HgC4Br3N,0.7057999999999998
Sr2YAlV2O7,0.7058
Li2FeCo3O8,0.7058
KCrF3,0.7059000000000002
Mg14AlBO16,0.7059999999999995
RbAuI3,0.7061000000000001
Te(NCl3)2,0.7061999999999997
Sr2TaNO3,0.7061999999999999
TeSe,0.7062000000000008
CrCo3O8,0.7062999999999999
Mg6ZnBiO8,0.7063000000000006
HfMg14CO16,0.7063000000000006
Sm31(CuSe16)3,0.7063000000000006
LaWN3,0.7063999999999995
Li9Co7O16,0.7064000000000004
ZrCuRh2,0.7065999999999999
LiSm2Cr2O8,0.7065999999999999
Ca5As3CO12,0.7066000000000003
Li4Fe5(NiO6)2,0.7066000000000003
K8MgCo2(Mo4O15)2,0.7067000000000001
Li3Cu3(PO4)2,0.7068000000000003
Na3Mg(CoO2)5,0.7069999999999999
MgV12Zn6O24,0.7070999999999996
NbTe2(SeI3)2,0.7070999999999998
MgAg20(BiO4)4,0.7071000000000001
Ba2DyInTe5,0.7071000000000005
Li7Mn5O12,0.7072000000000003
CoPH6NO5,0.7073
Te2Cl,0.7073999999999998
Li3Sb,0.7073999999999998
