formula,Temperature,Eg (eV)
Fe ht1,298.0,6.0
Al,298.0,1.68
SrS,0.0,1.8
SrS,0.0,6.83
SrS,0.0,7.5
SrS,298.0,4.6
SrS,298.0,4.1
SrS,298.0,4.6
SrS,298.0,4.6
SrS,298.0,4.1
SrS,298.0,3.7
SrS,298.0,4.26
SbB hyp,298.0,0.653
SbB hyp,298.0,1.23
SbB hyp,298.0,2.97
SbB hyp,298.0,0.54
V rt,298.0,10.1
V rt,298.0,0.934
Rh,298.0,2.1
Rh,298.0,7.25
Rh,298.0,6.5
Rh,298.0,7.16
Rh,298.0,4.03
Rh,298.0,6.29
Rh,298.0,2.63
Rh,298.0,7.3
Rh,298.0,6.0
Rh,298.0,1.02
Ru rt,298.0,7.6
Ru rt,298.0,1.083
ScRu2,0.0,3.39
ScRu2,0.0,0.345
Bi2O3 ht1,298.0,2.0
Bi2O3 ht1,298.0,2.48
ZnS rt,298.0,3.84
ZnS rt,298.0,4.54
ZnS rt,0.0,3.63
ZnS rt,0.0,4.97
ZnS rt,0.0,3.98
ZnS rt,0.0,6.06
ZnS rt,0.0,5.14
ZnS rt,0.0,5.28
ZnS rt,0.0,1.839
ZnS rt,0.0,1.814
ZnS rt,300.0,3.666
ZnS rt,0.0,1.96
ZnS rt,298.0,4.0
ZnS rt,0.0,3.18
ZnS rt,0.0,3.24
ZnS rt,298.0,-1.8
ZnS rt,0.0,3.7
ZnS rt,298.0,-5.96
ZnS rt,298.0,3.641
ZnS rt,0.0,3.563
ZnS rt,0.0,3.838
ZnS rt,298.0,7.9
ZnS rt,298.0,-0.5
ZnS rt,77.0,3.8
ZnS rt,298.0,3.54
ZnS rt,298.0,1.97
ZnS rt,298.0,2.823
ZnS rt,298.0,3.7
ZnS rt,298.0,3.8
ZnS rt,298.0,0.14
ZnS rt,298.0,3.68
ZnS rt,298.0,0.1
ZnS rt,77.0,3.8
ZnS rt,298.0,0.08
ZnS rt,300.0,104.0
ZnS rt,300.0,125.0
ZnS rt,298.0,2.4
ZnS rt,298.0,3.8
ZnS rt,1.5,3.84
ZnS rt,298.0,72.0
ZnS rt,298.0,35.0
ZnS rt,298.0,65.0
ZnS rt,298.0,3.82
ZnS rt,4.2,3.84
ZnS rt,298.0,2.15
ZnS rt,298.0,3.5
ZnS rt,298.0,3.63
ZnS rt,298.0,3.72
ZnS rt,298.0,3.8
ZnS rt,298.0,3.5
ZnS rt,298.0,3.8
ZnS rt,7.0,63.8
ZnS rt,7.0,-1.5
ZnS rt,7.0,3.8375
ZnS rt,7.0,0.07
ZnS rt,298.0,3.81
ZnS rt,77.0,3.92
ZnS rt,77.0,0.085
ZnS rt,298.0,3.7
ZnS rt,298.0,3.9
ZnS rt,298.0,3.6
ZnS rt,298.0,1.96
ZnS rt,298.0,2.8
ZnS rt,298.0,3.47
ZnS rt,298.0,4.47
ZnS rt,298.0,1.97
ZnS rt,298.0,2.823
W rt,298.0,2.593
W rt,298.0,4.674
W rt,298.0,4.8
W rt,298.0,0.18
W rt,298.0,9.2
W rt,298.0,1.268
Hf rt,298.0,8.8
Hf rt,298.0,1.455
Ba8Ge43 ht1,298.0,0.1
V3Ge,298.0,3.76
Ni,298.0,0.1
Ni,298.0,0.263
Ni,298.0,0.091
Ni,298.0,0.11
Ni,298.0,4.6
Ni,298.0,7.5
Ni,298.0,8.3
Ni,298.0,7.2
Ni,298.0,8.2
Ni,298.0,7.2
Ni,298.0,0.652
Ni,298.0,6.88
Ni,298.0,7.4
Ni,298.0,1.14
Ni,298.0,1.18
