formula,target
Ac1H2,56.1556
Ag1Al1O2,99.9056
Ag1Al1O2,144.441
Ag1Al1S2,71.6539
Ag1Al1Se2,49.6298
Ag1Al1Te2,40.2719
Ag1As1Ba1,43.5877
Ag1As1Ca1,57.4669
Ag1As1S1,40.5661
Ag1As1Sr1,47.7358
Ag1Au1F4,37.0529
Ag1Au1Zn2,94.7667
Ag1Ba1P1,47.988
Ag1Ba1,20.2538
Ag1Be2,114.533
Ag1Bi1Ca1,42.1045
Ag1Bi1Ca1,39.2021
Ag1Bi1K2,15.5392
Ag1Bi1Li2,39.2944
Ag1Bi1Yb1,41.6841
Ag1Br1,38.6889
Ag1Br1,39.3874
Ag1Br1,38.5124
Ag1Br2Cs1,16.2151
Ag1C1,114.983
Ag1C2K1,27.2627
Ag1C2Li1,36.3669
Ag1Ca1P1,63.7787
Ag1Ca1Sb1,47.4612
Ag1Ca1,34.0954
Ag1Cd1Sb1,55.6611
Ag1Cd1,67.7056
Ag1Cl1,40.94
Ag1Cl1,39.5739
Ag1Co1O2,148.95600000000002
Ag1Cr2Te4,44.3111
Ag1Cu4Dy1,99.5222
Ag1Cu4Er1,97.6833
Ag1Cu4Nd1,82.6611
Ag1Cu4Tb1,98.4611
Ag1Cu4U1,90.1778
Ag1Cu4Yb1,78.6556
Ag1Dy1Ge1,80.1779
Ag1Dy1Mg1,56.2255
Ag1Dy1Pb1,61.9337
Ag1Dy1Se2,49.9846
Ag1Dy1Se2,50.461000000000006
Ag1Dy1Si1,86.20299999999999
Ag1Dy1Sn1,68.2056
Ag1Dy1Te2,40.7522
Ag1Dy1,63.2722
Ag1Er1Ge1,82.3075
Ag1Er1Ge1,80.6577
Ag1Er1S2,61.7553
Ag1Er1Se2,51.7113
Ag1Er1Si1,88.4091
Ag1Er1Sn1,68.7992
Ag1Er1Sn1,70.5476
Ag1Er1,65.6
Ag1F1,55.1611
Ag1F3K1,37.8971
Ag1F3Rb1,42.2735
Ag1F3Zn1,82.9444
Ag1Ga1O2,130.981
Ag1Ga1S2,56.5078
Ag1Ga1Te2,38.0463
Ag1Ga1,55.2944
Ag1Gd1,74.5111
Ag1Ge1La1,65.5735
Ag1Ge1Tb1,71.3366
Ag1Hf1,103.11
Ag1Hf2,104.513
Ag1Ho1Pb1,62.1442
Ag1Ho1Se2,49.6763
Ag1Ho1Sn1,68.9502
Ag1Ho1,64.7944
Ag1I1,25.9388
Ag1I1,10.8325
Ag1I1,33.6648
Ag1In1O2,102.215
Ag1In1S2,48.2976
Ag1In1Te2,34.8044
Ag1In2Na3,19.9944
Ag1In5Se8,24.7673
Ag1In5Te8,21.8088
