formula,Bulk Modulus (GPa)
CuAl2,117.0
CuAl2,124.0
Fe ht1,330.0
Fe ht1,270.0
Fe ht1,892.0
Fe ht1,1760.0
Fe ht1,202.4
Fe ht1,338.7
Fe ht1,334.0
Fe ht1,251.0
Al,75.0
Al,71.5
Al,61.07
Al,59.0
Al,72.6
Al,72.0
Al,72.7
Al,74.2
Al,35.4
Al,79.15
Al,96.0
Al,88.0
Al,82.3
SbB hyp,99.0
SbB hyp,109.0
SbB hyp,104.0
V rt,157.6
V rt,157.04
V rt,200.0
V rt,60.0
V rt,143.0
V rt,154.0
V rt,223.0
V rt,180.0
V rt,180.0
V rt,147.0
V rt,220.0
V rt,185.2
V rt,170.0
V rt,199.0
Ti ht,123.0
Ti ht,125.7
Rh,263.0
Rh,294.0
Rh,277.0
Rh,311.6
Rh,275.0
Rh,280.0
Rh,255.6
Ru rt,357.3
Ru rt,307.0
Ru rt,368.8
Ru rt,285.0
Ru rt,312.0
Ru rt,315.0
Ru rt,315.0
Ru rt,315.0
Ru rt,322.0
ZnS rt,77.2
ZnS rt,77.9
ZnS rt,70.4
ZnS rt,77.1
ZnS rt,78.0
ZnS rt,75.0
ZnS rt,73.3
ZnS rt,69.3
ZnS rt,77.8
ZnS rt,77.3
ZnS rt,76.9
ZnS rt,83.0
ZnS rt,76.0
ZnS rt,77.4
ZnS rt,84.5
ZnS rt,76.9
ZnS rt,78.1
ZnS rt,77.1
ZnS rt,83.2
ZnS rt,83.0
ZnS rt,76.0
ZnS rt,81.0
ZnS rt,76.0
ZnS rt,69.353
ZnS rt,69.3
ZnS rt,85.7
ZnS rt,77.0
W rt,343.8
W rt,333.5
W rt,310.0
W rt,280.0
W rt,312.0
W rt,314.0
W rt,337.3
W rt,333.1
W rt,274.7
W rt,317.0
W rt,307.0
W rt,308.0
W rt,325.6
W rt,300.0
W rt,318.0
Hf rt,118.8
Hf rt,99.38
Hf rt,106.0
Hf rt,112.9
Hf rt,101.0
Hf rt,111.0
Hf rt,111.0
Hf rt,111.0
Ba8Ge43 ht1,52.8
Ba8Ge43 ht1,69.0
Er2Fe17,149.0
Ni,250.0
Ni,190.0
Ni,196.0
Ni,189.0
Ni,200.0
Ni,210.0
Ni,191.0
Ni,273.6
Ni,235.0
Ni,220.0
Ni,227.0
Ni,190.9
Ni,250.0
Ni,208.0
Ni,256.7
AgGaSe2 tet,54.8
AgGaSe2 tet,65.0
AgGaSe2 tet,65.0
AgGaSe2 tet,115.0
AgGaSe2 tet,7.31
AgGaSe2 tet,64.621
AgGaSe2 tet,57.0
AgGaSe2 tet,50.7
AgGaSe2 tet,67.3
AgGaSe2 tet,57.0
Tm2O3 mon,145.9
Mn stab ht3,335.1
Y hyp,632.0
Y hyp,1083.0
Y hyp,104.0
Y hyp,282.0
Y hyp,34.0
Y hyp,47.6
Fe0.75Ge0.25 m2,164.0
P cub1,6.7
Dy2O3 ht2,140.5
Dy2O3 ht2,231.0
Yb2O3 hp,181.0
Cr calc,265.1
Ba[WO4],57.0
Ba[WO4],72.0
Ba[WO4],800.0
Ba[WO4],63.0
Ba[WO4],52.0
Ba[WO4],47.0
Ba[WO4],55.9
Ba[WO4],53.8
P black,32.6
P black,34.7
P black,32.0
Fe rt,230.0
Fe rt,170.0
Fe rt,172.0
Fe rt,243.0
Fe rt,182.0
Fe rt,251.0
Fe rt,202.0
Fe rt,165.0
Fe rt,187.0
Fe rt,190.0
Fe rt,210.0
Fe rt,150.0
Fe rt,311.4
Fe rt,288.0
Fe rt,241.0
Fe rt,218.0
Fe rt,145.0
Fe rt,0.158
Fe rt,260.0
Fe rt,315.0
Fe rt,217.0
Fe rt,168.3
Fe rt,194.9
Fe rt,240.0
Fe rt,315.0
Fe rt,304.0
Fe rt,264.0
Fe rt,174.0
Fe rt,167.0
Fe rt,186.0
Fe rt,198.4
Zn rt,71.0
Zn rt,63.0
Zn rt,57.0
Zn rt,90.0
Zn rt,47.7
Zn rt,72.4
Zn rt,59.0
Zn rt,68.2
Zr rt,119.2
Zr rt,88.67
Zr rt,95.0
Zr rt,81.0
Zr rt,76.0
Zr rt,84.6
Zr rt,103.2
Zr rt,90.0
Zr rt,83.0
Zr rt,95.4
Zr rt,95.2
Zr rt,95.3
Zr ht/hp2,101.3
Si rt,115.0
Si rt,116.0
Si rt,113.0
Si rt,92.0
Si rt,99.0
Si rt,114.0
Si rt,92.3
Si rt,95.6
Si rt,98.3
Si rt,95.54
Si rt,95.0
Si rt,98.0
Si rt,97.9
Si rt,85.22
Si rt,90.0
Si rt,97.8
Si rt,91.0
Si rt,97.0
Si rt,106.14
Si rt,96.2
Si rt,93.0
Si rt,96.0
Si rt,90.0
Si rt,105.0
Si rt,93.0
Si rt,93.0
Si rt,99.0
Si rt,98.0
Si rt,96.0
Si rt,95.8
Si rt,91.2
Pt,174.0
Pt,297.0
Pt,293.0
Pt,298.0
Pt,277.3
Pt,312.0
Pt,333.5
Pt,309.0
Pt,295.0
Pt,288.0
Pt,356.2
Co ht,247.0
Co ht,214.0
Co ht,199.0
Co ht,210.0
Co ht,220.0
Co ht,216.4
Co ht,278.0
Co ht,248.7
Tl rt,37.0
Tl rt,49.8
Tl rt,37.7
Tl rt,37.5
Tl rt,37.6
Nb,171.5
Nb,173.09
Nb,180.0
Nb,150.0
Nb,175.0
Nb,168.0
Nb,168.0
Nb,169.0
Nb,171.0
Nb,194.8
Nb,180.0
Nb,180.0
Nb,169.7
Nd rt,31.8
Nd rt,33.0
Nd rt,27.9
Mo rt,251.0
Mo rt,267.0
Mo rt,260.0
Mo rt,260.0
Mo rt,270.5
Mo rt,288.1
Mo rt,270.0
Mo rt,255.0
Mo rt,251.3
Mo rt,262.8
Sb rt,37.1
Sb rt,41.0
Sb rt,0.66
Sb rt,162.0
Ga,49.3
Ga,57.0
Ga,40.0
Ga,66.9
Ga,66.9
Ga,69.6
In tet,41.8
In tet,90.0
In tet,153.0
In tet,37.0
In tet,49.0
In tet,30.0
In tet,48.7
In tet,46.4
In tet,46.1
In tet,46.3
La ht1,13.9
La ht1,26.1
La ht1,29.3
La ht1,31.1
La ht1,24.8
La ht1,31.2
La ht2,27.2
La ht2,29.0
La ht2,31.1
La ht2,30.7
La rt,27.9
La rt,26.0
La rt,25.0
La rt,21.7
La rt,25.8
Ag,106.0
Ag,127.0
Ag,101.11
Ag,88.0
Ag,113.1
Ag,110.0
Ag,100.7
Ag5Zn8,109.0
Cr0.78Al0.22,129.0
Cu0.92Al0.08 rt,135.5
Er,44.4
Er,43.0
Er,39.0
Er,44.0
Er,121.6
Er,34.9
Fe3Al ht,136.0
FeAl rt,112.81
FeAl rt,201.0
FeAl rt,197.0
FeAl rt,138.0
FeAl rt,198.1
GdAl2 rt,75.3
GdAl2 rt,69.0
GdAl2 rt,86.5
Gd rt,37.9
Gd rt,34.0
Gd rt,38.8
Gd rt,37.0
Gd rt,39.0
Gd rt,29.5
Gd rt,40.5
Gd rt,40.5
Gd rt,40.5
Gd rt,35.6
Hf ht,124.7
Ni3Al rt,176.4
Ni3Al rt,146.2
NiAl rt,149.9
NiAl rt,170.0
NiAl rt,320.6
NiAl rt,192.0
NiAl3,132.0
Re,387.9
Re,360.3
Re,201.7
Re,170.3
Re,372.0
Re,317.0
Re,447.3
Re,300.0
Re,364.0
Re,364.0
Re,364.0
RuAl2 rt orth,190.0
Sc ht,59.7
Sc rt,56.6
Sc rt,64.7
Sc rt,51.0
Sc rt,65.0
Sc rt,80.0
Sc rt,79.0
Sc rt,51.8
Sc rt,57.2
Sc rt,57.1
Sc rt,57.1
Sc rt,59.58
TiAl3 ht,113.0
Ge,69.4
Ge,71.6
Ge,74.0
Ge,74.0
Ge,73.0
Ge,74.4
Ge,58.12
Ge,78.0
Ge,77.0
Ge,82.0
Ge,167.0
Ge,141.0
Ge,144.0
Ge,67.0
Ge,75.6
Ge,60.7
Ge,75.2
Ge,63.0
Ge,76.0
Ge,76.7
Ge,83.0
Ge,72.0
Ge,66.0
Ge,70.8
Ge,78.4
Ge,98.6
Ge,74.0
Ge,71.0
Ge,67.1
Au,166.0
Au,131.0
Au,108.0
Au,182.0
Au,170.0
Au,147.85
Au,197.24
Au,166.7
Au,167.0
Au,204.0
Au,185.0
Au,168.9
Au,193.0
Au,197.0
Au,189.5
Ho rt,40.2
Ho rt,35.85
Ho rt,38.0
Ho rt,33.5
Ho rt,40.2
Ho rt,40.2
Ho rt,40.2
Tb rt,38.7
Tb rt,36.0
Tb rt,31.8
Tb rt,38.7
Tb rt,38.7
Tb rt,38.7
Tm rt,44.5
Tm rt,38.0
Tm rt,36.7
Tm rt,32.11
Tm rt,44.5
Ba,11.0
Ba,7.7
Ba,10.0
Ba,11.0
Ba,11.1
Ba,6.7
Ba,11.0
Cu,142.0
Cu,79.0
Cu,180.0
Cu,130.0
Cu,133.1
Cu,121.6
Cu,166.0
Cu,158.0
Cu,188.0
Cu,142.4
Cu,160.0
Cu,135.0
Cu,167.5
Cu,121.6
Cu,157.3
Cu,183.0
Cu,162.0
Cu,141.6
Li rt,13.5228
Li rt,277.796
Li rt,14.0
Li rt,13.0
Li rt,12.0
Li rt,140.9
Li rt,19.1
Li rt,15.4
Li rt,15.8
Li rt,14.7
Li rt,13.67
Li rt,14.8
Li rt,15.1
Cr rt,189.0
Cr rt,184.0
Cr rt,193.0
Cr rt,305.6
Cr rt,180.3
Cr rt,280.0
Cr rt,190.0
Cr rt,188.5
Cr rt,201.0
CrB2,329.0
Be ht,110.9
Be ht,140.0
Be ht,132.0
Be rt,144.1
Be rt,111.7
Be rt,114.0
Be rt,125.0
Be rt,110.0
Be rt,110.0
Be rt,103.2
Be rt,114.0
Be rt,114.0
Be rt,114.0
Hg lt/hp1,38.0
Hg lt/hp1,28.8
Bi,38.2
Bi,29.0
Bi,112.0
PrBi,40.0
Pr rt,28.8
Pr rt,31.0
Pr rt,26.9
B rhom1,185.0
B rhom1,224.0
B rhom1,322.0
Ca ht/hp1,63.0
Ca ht/hp1,195.0
Ca ht/hp1,20.2
Ca ht/hp1,20.1
Ca rt,16.0
Ca rt,15.6
Ca rt,16.0
Ca rt,18.0
Ca rt,19.2
Ca rt,19.48
Sn rt,55.8
Sn rt,52.2
Sn rt,57.0
Sn rt,60.5
Sn rt,57.8
Sn rt,54.0
Sn rt,63.0
Sn rt,0.57
Sn rt,50.7
CeCo5 ht,148.0
CeCo5 ht,147.8
CeCo5 ht,148.5
CeCo5 ht,147.5
CeCo5 ht,148.0
Ce ht1/hp1,21.5
Ce ht1/hp1,90.0
Ce ht1/hp1,70.0
Ce ht1/hp1,37.0
Co rt,205.0
Co rt,189.0
Co rt,225.45
Co rt,268.05
Co rt,199.0
Co rt,181.0
Co rt,210.0
Co rt,220.0
Co rt,183.7
Co rt,182.0
Co rt,185.0
Co rt,310.0
Co rt,210.0
Co rt,191.4
Co rt,185.4
Co rt,190.0
Co rt,190.0
Co rt,190.0
Co rt,268.0
Co rt,214.0
Ce rt,29.0
Ce rt,28.4
