formula,Temperature,Rho (Ohm.cm)
BaZnRu5O11,300.0,0.0051
Pb0.5Ge0.5Te rt,33.5,7.4e-05
RbCu7S4 lt,30.0,0.692
CuLa2O4.1,300.0,0.025
Sr0.4La0.3Pr0.3MnO3 rt orth rt,293.0,0.04
Ce3Ir2Ge2,200.0,0.000145
LuB12 rt,300.0,1.151e-05
La0.72Pr0.18MnTe0.10O3,185.0,0.213
RbCu7S4 lt,223.0,2.43
Cr2Se3 rt,870.0,0.001
Sr0.15La0.85MnO3 rt,300.0,0.009
DyOs4P12,298.0,0.0434
Ca0.15La0.7MnTe0.15O3.01 lt,350.0,0.002
La0.8Ho0.1MnTe0.1O3 lt2,100.0,6.1
Na0.2Pr0.8Mn0.99Ru0.01O3 lt,25.0,14.000000000000002
PrIn3,297.0,1.67e-05
Ca0.5Pr0.5Fe0.15Co0.85O2.93 lt,86.0,2.6
Y3Co6Sn5,262.0,0.00037
SrFe1.75Pd0.25As2,250.0,0.00045
Cu2YbSi2,288.0,0.0001165
Sr0.3Ca0.22Pr0.48MnO3 rt,200.0,1.5
Ca0.33La0.67Mn0.95Si0.05O3 lt2 lt2,224.0,0.1699999999999999
LaPd2Si2,250.0,3.5e-05
Ba2CaAgxCu5La2O10,150.0,0.00218
HoMn2 rt,298.0,0.0001615
LaCrSb3,150.0,0.0072799999999999
ZrS3,500.0,1.5
BaCo2As2,1.8,5.999999999999999e-06
La3S4 rt,275.0,0.00035
Cu7Fe8.5Ru8.5Al68Si8,5.0,0.00067
Pr2Ni3Ge5,25.0,2.42e-05
Mn0.2Ga0.8As,4.0,306000000.0
LiAl rt,290.0,2.42e-05
NbB0.4O2,4.2,193.0
Sr0.2La0.8Mn0.5Al0.5O3 rt,298.0,0.11
HgCr2Se4,300.0,1.2
LaFe4Sb12,300.0,0.00037
Ba0.3La0.5Dy0.2MnO3,150.0,6.3
Yb2Pt2Pb,300.0,2.6e-05
Li5.5La3Nb1.75In0.25O12,318.0,20200.0
Sb rt,1.2,3.7e-09
La0.3Gd0.7 ht,4.2,1.1e-05
ZrCo2Al,202.0,0.000202
Ca0.5La0.5MnO3 rt orth,298.0,0.43
Cu3La3Sn0.05Sb3.95,370.0,0.00197
Sr2Cu2Hg0.75Ce0.5Dy1.5W0.25O9,75.0,0.0055
Fe rt,200.0,5.2e-06
BiSbTe1.5Se1.5,298.0,0.009
Mg0.08Sm0.92 ht1,77.0,7.860000000000001e-06
CeRu2Si2,298.0,0.000115
SmFeO3,455.0,30700.0
Gd4.5Ni12Sn24.5,300.0,0.000145
CrFeInS4,200.0,0.0607
AgDy,10.0,2.6e-06
Ca0.5Pr0.5MnO3 rt,225.0,0.0279999999999999
NdRu2Si2,23.5,8.799999999999999e-06
Ba2Cu2.91YFe0.09O7,100.0,0.0013
SrSc0.1Co0.9O3,325.0,0.0073999999999999
Ba2Cu3SmO7,94.0,38.6
Ca0.3La0.7Mn0.96In0.04O3,96.0,1477.0
Nb2Se3,4.0,0.0001049999999999
Os rt,12.6,1.7e-10
