formula,Temperature,Rho (Ohm.cm)
SrDy0.08Ti0.92O3,400.0,0.004
La0.05Ca2.85Co3.8O8.55,700.0,0.02510973
Tl0.02Pb0.98Te,700.0,0.00536364
Bi1.2S1.2Ti2S4,300.0,0.000324
Pb1.8S1.8Ti2S4,300.0,0.00046
Zn4Sb3,300.0,0.00230891
Cu2Te,700.0,4.7424E-04
Sn.985Na.015Se (hole doped)   C axis,400.0,1.5421E-03
Zn4Sb3,700.0,0.00316607
Cu1.8Ag1.2SbSe4,400.0,0.01129858
Li0.0242Ni0.9758O,1000.0,0.003874392
CaGd0.98Mn0.02O3,400.0,0.027541002
YbCd1.8Mg0.2Sb2,300.0,0.003227785
Ba8Au5.59Si39.01,300.0,0.00234
Cu2S.54Te.46,300.0,5.1974E-03
CeFeCo3Sb12,700.0,0.00608923
Sr0.8La0.2TiO3,400.0,0.000533678
In0.2Co4Sb12,400.0,0.00174818
Mg2Si0.999Bi0.001,700.0,0.003167
Ba8Ga16Si30,300.0,0.00122
Ti0.95Nb0.05NiSn,300.0,0.000350664
La1.73Sr0.27Cu0.94Ti0.06O4,300.0,0.0039
Zr0.35Hf0.35Ti0.3NiSn,400.0,0.00555251
Zn0.98Al0.02O,400.0,0.00128825
WO2.9,300.0,0.00123823
Bi.48SB1.52Te3,700.0,0.003268293
Zr0.5Hf0.5NiSn,300.0,0.00974787
CeFe3.5Co0.5Sb12,300.0,8.93E-04
Cu2.1Zn0.9SnS4,300.0,0.042
CaMn0.98Nb0.02O3,700.0,0.028358
Cu2HgSnSe2Te2,700.0,0.003004802
Fe1.3Mo6S8,300.0,0.00065
CaGd0.94Mn0.06O3,400.0,0.011351356
MgAg0.97Sb.985Pb.005,400.0,0.003572581
CuRh0.99Mg0.01O2,700.0,0.0458
CuFe0.9Cr0.1O2,1000.0,0.0532197
Cu1.98Ag.02Te,700.0,1.3428E-03
Mg2Si,700.0,0.004125
CaGd0.96Mn0.04O3,700.0,0.011666665
TiNiSn,300.0,0.031417889
BaCu5.7Se.6Te6.4,300.0,3.4270E-02
CuCrO2,300.0,18.3684
Mg1.9Ca0.1Si,300.0,0.002117
TlCr5Se8,400.0,0.016
CeFe3CoSb12,400.0,0.00162618
In0.05Co4Sb12,300.0,0.00597571
CuRh0.9Mg0.1O2,1000.0,0.00407907
Mg0.9975Li0.0025Ag0.97Sb 0.99,300.0,0.002048647
MgAg0.97Sb.98Pb.01,300.0,0.003362903
Tl9BiTe6,300.0,0.00642
Cu1.97Se,400.0,1.0497E-02
In0.3Co4Sb12,300.0,0.00151015
In0.3Co4Sb12,700.0,0.00228108
Bi.88Ca.06Pb.06CuSeO,400.0,0.006206655
Ca3AlSb3,400.0,0.5376
In1.998Ge0.002O3,700.0,0.00337115
BiSbTe,400.0,1.6631E-03
Mn1.3Mo6S8,300.0,0.000690385
NaCo2O4,1000.0,6.00E-04
Cu3Sb.96Bi.04Se4,400.0,0.053422323
