formula,Temperature,Rho (Ohm.cm)
CaMnO3,300.0,50
CaMnO3,400.0,50
CaMnO3,700.0,2.417491884
CaMnO3,1000.0,0.177489866
Ca0.98La0.02MnO3,300.0,0.046114613
Ca0.98La0.02MnO3,400.0,0.046114613
Ca0.98La0.02MnO3,700.0,0.065049112
Ca0.98La0.02MnO3,1000.0,0.041084466
Ca0.96La0.04MnO3,300.0,0.015255507
Ca0.96La0.04MnO3,400.0,0.015255507
Ca0.96La0.04MnO3,700.0,0.02167829
Ca0.96La0.04MnO3,1000.0,0.022216199
Ca0.94La0.06MnO3,300.0,0.012167108
Ca0.94La0.06MnO3,400.0,0.012167108
Ca0.94La0.06MnO3,700.0,0.017025942
Ca0.94La0.06MnO3,1000.0,0.018839701
Ca0.92La0.08MnO3,300.0,0.009966115
Ca0.92La0.08MnO3,400.0,0.009966115
Ca0.92La0.08MnO3,700.0,0.013632206
Ca0.92La0.08MnO3,1000.0,0.015706625
NiO,700.0,152.9285824
NiO,1000.0,14.64759355
Li0.0024Ni0.9976O,400.0,28.86769359
Li0.0024Ni0.9976O,700.0,0.262887397
Li0.0024Ni0.9976O,1000.0,0.046604403
Li0.0066Ni0.9944O,400.0,5.08646999
Li0.0066Ni0.9944O,700.0,0.031620853
Li0.0066Ni0.9944O,1000.0,0.028478426
Li0.0184Ni0.9816O,400.0,0.064272309
Li0.0184Ni0.9816O,700.0,0.019804922
Li0.0184Ni0.9816O,1000.0,0.006660716
Li0.0242Ni0.9758O,400.0,0.012343256
Li0.0242Ni0.9758O,700.0,0.004865541
Li0.0242Ni0.9758O,1000.0,0.003874392
CaMnO3,300.0,5.007604258
CaMnO3,400.0,2.925074959
CaMnO3,700.0,0.643244379
CaMnO3,1000.0,0.110571194
Ca0.98Bi0.02Mn0.98Nb0.02O3,300.0,0.02032591
Ca0.98Bi0.02Mn0.98Nb0.02O3,400.0,0.021537238
Ca0.98Bi0.02Mn0.98Nb0.02O3,700.0,0.025914331
Ca0.98Bi0.02Mn0.98Nb0.02O3,1000.0,0.026637901
Ca0.96Bi0.04Mn0.96Nb0.04O3,300.0,0.008864209
Ca0.96Bi0.04Mn0.96Nb0.04O3,400.0,0.009823585
Ca0.96Bi0.04Mn0.96Nb0.04O3,700.0,0.012502015
Ca0.9Bi0.1Mn0.9Nb0.1O3,1000.0,0.014545545
Ca0.9Bi0.1Mn0.9Nb0.1O3,300.0,0.007325377
Ca0.9Bi0.1Mn0.9Nb0.1O3,400.0,0.007257717
Ca0.9Bi0.1Mn0.9Nb0.1O3,700.0,0.007633259
Ca0.9Bi0.1Mn0.9Nb0.1O3,1000.0,0.008303286
CaMn0.98Nb0.02O3,300.0,0.02
CaMn0.98Nb0.02O3,400.0,0.0215409
CaMn0.98Nb0.02O3,700.0,0.028358
CaMn0.98Nb0.02O3,1000.0,0.0308794
CaMn0.98Ru0.02O3,400.0,0.0183658
CaMn0.98Ru0.02O3,700.0,0.0241829
CaMn0.98Ru0.02O3,1000.0,0.0279999
CaMn0.96Ru0.04O3,400.0,0.00752127
CaMn0.96Ru0.04O3,700.0,0.0101835
CaMn0.96Ru0.04O3,1000.0,0.0126982
CaMn0.94Ru0.06O3,400.0,0.00660169
CaMn0.94Ru0.06O3,700.0,0.00892335
CaMn0.94Ru0.06O3,1000.0,0.0113926
CaMn0.9Ru0.1O3,400.0,0.00395648
CaMn0.9Ru0.1O3,700.0,0.00529042
CaMn0.9Ru0.1O3,1000.0,0.00673792
CaMn0.82Ru0.18O3,400.0,0.00310502
CaMn0.82Ru0.18O3,700.0,0.00403027
CaMn0.82Ru0.18O3,1000.0,0.00504634
CaGd0.98Mn0.02O3,300.0,0.03054545
CaGd0.98Mn0.02O3,400.0,0.027541002
CaGd0.98Mn0.02O3,700.0,0.022105261
CaGd0.98Mn0.02O3,1000.0,0.022702713
CaGd0.96Mn0.04O3,300.0,0.014867258
CaGd0.96Mn0.04O3,400.0,0.012873558
CaGd0.96Mn0.04O3,700.0,0.011666665
CaGd0.96Mn0.04O3,1000.0,0.010566033
CaGd0.94Mn0.06O3,300.0,0.014545455
CaGd0.94Mn0.06O3,400.0,0.011351356
CaGd0.94Mn0.06O3,700.0,0.008659808
CaGd0.94Mn0.06O3,1000.0,0.008865405
Nd1.4Bi0.6Ru2O7,400.0,0.00175816
Nd1.4Bi0.6Ru2O7,700.0,0.00192802
Nd1.4Bi0.6Ru2O7,1000.0,0.00203743
NdBiRu2O7,400.0,0.00117083
NdBiRu2O7,700.0,0.00134069
NdBiRu2O7,1000.0,0.00153071
Yb1.4Bi0.6Ru2O7,400.0,0.00321831
Yb1.4Bi0.6Ru2O7,700.0,0.00310001
Yb1.4Bi0.6Ru2O7,1000.0,0.00297746
YbBiRu2O7,400.0,0.00169298
YbBiRu2O7,700.0,0.00176901
YbBiRu2O7,1000.0,0.00181126
Bi2Ru2O7,400.0,0.00049075
Bi2Ru2O7,700.0,0.00057405
Bi2Ru2O7,1000.0,0.00068672
Y0.5Bi1.5Ru2O7,400.0,0.00101116
Y0.5Bi1.5Ru2O7,700.0,0.001050437
Y0.5Bi1.5Ru2O7,1000.0,0.001190611
YBiRu2O7,400.0,0.0019954
YBiRu2O7,700.0,0.001901516
YBiRu2O7,1000.0,0.001998573
Y2Ru2O7,400.0,5.732274775
Y2Ru2O7,700.0,0.284067795
Y2Ru2O7,1000.0,0.084481186
Nd2Ru2O7,300.0,2
Nd2Ru2O7,400.0,0.25
Nd2Ru2O7,700.0,0.017
Nd2Ru2O7,1000.0,0.0101
Nd2Ru2O7,300.0,1.536
Nd2Ru2O7,400.0,0.38
Nd2Ru2O7,700.0,0.031
Ca0.9Nd0.1MnO3,400.0,0.011934
Ca0.9Nd0.1MnO3,700.0,0.0174057
Ca0.9Nd0.1MnO3,1000.0,0.0213208
Ca0.9Tb0.1MnO3,400.0,0.0107547
Ca0.9Tb0.1MnO3,700.0,0.0153302
Ca0.9Tb0.1MnO3,1000.0,0.0183962
Ca0.9Ho0.1MnO3,400.0,0.00698113
Ca0.9Ho0.1MnO3,700.0,0.00981132
Ca0.9Ho0.1MnO3,1000.0,0.0125
Ca0.9Yb0.1MnO3,400.0,0.0040566
Ca0.9Yb0.1MnO3,700.0,0.00599057
Ca0.9Yb0.1MnO3,1000.0,0.00825472
CaMnO3,400.0,0.460937
CaMnO3,700.0,0.233107
CaMnO3,1000.0,0.0834071
Ca0.9Tb0.1MnO3,300.0,0.00576296
Ca0.9Tb0.1MnO3,400.0,0.00638941
Ca0.9Tb0.1MnO3,700.0,0.00831725
Ca0.9Tb0.1MnO3,1000.0,0.0102451
Ca0.7Tb0.3MnO3,300.0,0.00607036
Ca0.7Tb0.3MnO3,400.0,0.00549942
Ca0.7Tb0.3MnO3,700.0,0.00525905
Ca0.7Tb0.3MnO3,1000.0,0.00558501
Ca0.9Ho0.1MnO3,300.0,0.00669346
Ca0.9Ho0.1MnO3,400.0,0.00739839
Ca0.9Ho0.1MnO3,700.0,0.00949715
Ca0.9Ho0.1MnO3,1000.0,0.0115796
Ca0.7Ho0.3MnO3,300.0,0.00511856
Ca0.7Ho0.3MnO3,400.0,0.0043952
Ca0.7Ho0.3MnO3,700.0,0.00376682
Ca0.7Ho0.3MnO3,1000.0,0.00422589
Ca0.9Y0.1MnO3,300.0,0.00437499
Ca0.9Y0.1MnO3,400.0,0.00477637
Ca0.9Y0.1MnO3,700.0,0.00591553
Ca0.9Y0.1MnO3,1000.0,0.00710372
Ca0.7Y0.3MnO3,300.0,0.00762653
Ca0.7Y0.3MnO3,400.0,0.00649209
Ca0.7Y0.3MnO3,700.0,0.00627506
Ca0.7Y0.3MnO3,1000.0,0.00707093
