formula,Temperature,Seebeck (uV/K)
CuAl2,295.0,-0.8
Fe ht1,1073.0,-10.0
Fe ht1,1773.0,-6.5
Al,105.0,-4.0
V rt,10.0,0.15
V rt,70.0,3.35
V rt,288.0,-0.35
W rt,5.0,0.11
Ba8Ge43 ht1,298.0,4.0
Ba8Ge43 ht1,673.0,-40.0
Ba8Ge43 ht1,473.0,-27.0
Ba8Ge43 ht1,668.0,-53.0
Ba8Ge43 ht1,473.0,-31.0
Ba8Ge43 ht1,668.0,-43.0
Ba8Ge43 ht1,298.0,2.0
Ni,121.0,-8.7
Ni,280.0,-18.3
Zr2Fe ht,310.0,9.0
Dy3Te4,298.0,-49.0
NdSn3 rt,9.0,-1.1
NdSn3 rt,250.0,4.2
Nb0.7Co2Si0.3 ht,300.0,0.2
Cu0.25Ni0.75S2 rt,480.0,140.0
Fe5Ni4S8,273.0,-5.0
Ca1.25Ti0.25Nb0.5O3,298.0,-278.0
P black,298.0,290.0
P black,298.0,10.0
P black,298.0,-25.0
P black,298.0,5.0
Fe rt,300.0,13.3
Fe rt,823.0,-4.3
Fe rt,1853.0,-6.0
Si rt,85.0,7300.0
Si rt,85.0,8400.0
Si rt,85.0,26000.0
Si rt,85.0,36000.0
Si rt,85.0,25300.0
Si rt,85.0,35100.0
Si rt,85.0,25000.0
Si rt,85.0,35000.0
Si rt,85.0,24200.0
Si rt,85.0,34000.0
Si rt,298.0,17590.0
Si rt,298.0,30930.0
Si rt,298.0,7380.0
Si rt,298.0,4030.0
Si rt,298.0,1860.0
Si rt,298.0,3220.0
Si rt,298.0,2550.0
Si rt,298.0,1395.0
Pt,298.0,1.7
Pt,298.0,0.24
Pt,298.0,0.12
Nd rt,298.0,-3.2
Nd rt,90.0,-3.9
Nd rt,1050.0,-2.0
Nd rt,1050.0,-3.7
Nd rt,298.0,-1.7
Nd rt,298.0,10.0
Nd rt,298.0,-1.9
Sb rt,298.0,32.0
Sb rt,298.0,29.0
Sb rt,298.0,58.0
Sb rt,298.0,40.0
Sb rt,293.0,47.0
Sb rt,623.0,7.0
Sb rt,293.0,14.5
Sb rt,623.0,0.5
La ht1,625.0,2.3
La ht1,1040.0,-2.3
La rt,298.0,1.7
La rt,80.0,0.0
Ag5Zn8,298.0,-2.36
Cu0.92Al0.08 rt,295.0,2.0
Cu0.92Al0.08 rt,295.0,-10.2
Cu9Al4 rt,295.0,-7.3
Cu9Al4 rt,298.0,-2.81
CuAl rt,295.0,4.5
Er,80.0,-2.6
Er,274.0,0.0
Er,970.0,4.2
Er,298.0,2.9
Er,298.0,0.0
Fe3Al ht,323.0,-3.0
Gd rt,90.0,-1.8
Gd rt,750.0,0.1
Gd rt,83.0,-3.4
Gd rt,750.0,0.4
Gd rt,80.0,-4.0
Gd rt,1045.0,-0.8
