formula,Temperature,Seebeck (uV/K)
CaMnO3,300.0,-462.97
CaMnO3,400.0,-462.97
CaMnO3,700.0,-470.65
CaMnO3,1000.0,-279.83
Ca0.98La0.02MnO3,300.0,-201.71
Ca0.98La0.02MnO3,400.0,-201.71
Ca0.98La0.02MnO3,700.0,-224.12
Ca0.98La0.02MnO3,1000.0,-190.18
Ca0.96La0.04MnO3,300.0,-123.59
Ca0.96La0.04MnO3,400.0,-123.59
Ca0.96La0.04MnO3,700.0,-173.53
Ca0.96La0.04MnO3,1000.0,-160.09
Ca0.94La0.06MnO3,300.0,-103.74
Ca0.94La0.06MnO3,400.0,-103.74
Ca0.94La0.06MnO3,700.0,-127.43
Ca0.94La0.06MnO3,1000.0,-135.75
Ca0.92La0.08MnO3,300.0,-83.24
Ca0.92La0.08MnO3,400.0,-83.24
Ca0.92La0.08MnO3,700.0,-118.46
Ca0.92La0.08MnO3,1000.0,-140.88
NiO,700.0,483.47
NiO,1000.0,642.62
Li0.0024Ni0.9976O,400.0,294.97
Li0.0024Ni0.9976O,700.0,249.75
Li0.0024Ni0.9976O,1000.0,262.41
Li0.0066Ni0.9944O,400.0,249.37
Li0.0066Ni0.9944O,700.0,200.39
Li0.0066Ni0.9944O,1000.0,206.66
Li0.0184Ni0.9816O,400.0,116.91
Li0.0184Ni0.9816O,700.0,97.88
Li0.0184Ni0.9816O,1000.0,105.17
Li0.0242Ni0.9758O,400.0,102.59
Li0.0242Ni0.9758O,700.0,77.37
Li0.0242Ni0.9758O,1000.0,79.49
CaMnO3,300.0,-572.04
CaMnO3,400.0,-549.12
CaMnO3,700.0,-477.48
CaMnO3,1000.0,-406.81
Ca0.98Bi0.02Mn0.98Nb0.02O3,300.0,-100.04
Ca0.98Bi0.02Mn0.98Nb0.02O3,400.0,-119.21
Ca0.98Bi0.02Mn0.98Nb0.02O3,700.0,-184.31
Ca0.98Bi0.02Mn0.98Nb0.02O3,1000.0,-205.16
Ca0.96Bi0.04Mn0.96Nb0.04O3,300.0,-91.19
Ca0.96Bi0.04Mn0.96Nb0.04O3,400.0,-114.15
Ca0.96Bi0.04Mn0.96Nb0.04O3,700.0,-164.08
Ca0.9Bi0.1Mn0.9Nb0.1O3,1000.0,-172.3
Ca0.9Bi0.1Mn0.9Nb0.1O3,300.0,-72.23
Ca0.9Bi0.1Mn0.9Nb0.1O3,400.0,-72.44
Ca0.9Bi0.1Mn0.9Nb0.1O3,700.0,-80.65
Ca0.9Bi0.1Mn0.9Nb0.1O3,1000.0,-92.67
CaMn0.98Nb0.02O3,300.0,-180.0
CaMn0.98Nb0.02O3,400.0,-203.88
CaMn0.98Nb0.02O3,700.0,-234.57
CaMn0.98Nb0.02O3,1000.0,-248.22
CaMn0.98Ru0.02O3,400.0,-153.66
CaMn0.98Ru0.02O3,700.0,-195.78
CaMn0.98Ru0.02O3,1000.0,-213.72
CaMn0.96Ru0.04O3,400.0,-119.99
CaMn0.96Ru0.04O3,700.0,-137.22
CaMn0.96Ru0.04O3,1000.0,-152.89
CaMn0.94Ru0.06O3,400.0,-101.6
CaMn0.94Ru0.06O3,700.0,-122.22
CaMn0.94Ru0.06O3,1000.0,-144.55
CaMn0.9Ru0.1O3,400.0,-60.57
CaMn0.9Ru0.1O3,700.0,-81.62
CaMn0.9Ru0.1O3,1000.0,-101.82
CaMn0.82Ru0.18O3,400.0,-35.67
CaMn0.82Ru0.18O3,700.0,-55.87
CaMn0.82Ru0.18O3,1000.0,-67.87
