formula,ShearMod (GPa)
Al,26.0
Fe4N,59.0
V rt,34.0
V rt,76.0
V rt,48.1
Ru rt,199.0
Ru rt,198.0
Ru rt,199.0
W rt,214.0
W rt,160.2
Hf rt,60.8
Hf rt,60.6
Hf rt,60.7
Fe rt,79.0
Fe rt,88.0
Zn rt,44.6
Zn rt,34.1
Zn rt,40.4
Zr rt,36.0
Zr rt,36.5
Zr rt,35.7
Zr rt,36.1
Pt,80.0
Tl rt,7.25
Tl rt,5.36
Tl rt,6.39
Nb,35.86
Nd rt,16.3
Mo rt,126.5
Ag0.815In0.185,26.59
In tet,6.74
In tet,5.51
In tet,6.37
La rt,14.3
Ag,30.976
Ag,28.17
Er,28.3
Gd rt,21.8
Gd rt,24.6
Gd rt,24.4
Gd rt,24.5
Re,178.9
Re,175.1
Re,181.0
Re,177.0
Re,179.0
Sc rt,29.1
Sc rt,29.8
Sc rt,29.1
Sc rt,29.4
TiAl3 ht,93.0
Ho rt,26.3
Ho rt,26.3
Ho rt,26.3
Ho rt,26.3
Tb rt,22.1
Tb rt,22.1
Tb rt,22.1
Tb rt,22.1
Tm rt,30.5
Li rt,1.16976
Li rt,9.09813
Li rt,15.0
Li rt,1.2
Be rt,156.0
Be rt,149.0
Be rt,148.0
Be rt,149.0
Hg lt/hp1,14.8
Hg lt/hp1,1.6
Pr rt,14.8
B rhom1,200.0
B rhom1,208.0
Ca ht/hp1,2.7
Ca rt,2.9
CeCo5 ht,43.9
CeCo5 ht,40.2
CeCo5 ht,42.0
Ce ht1/hp1,13.5
Co rt,84.4
Co rt,80.1
Co rt,82.0
MoC0.49 tf,164.0
TiC,183.0
TiC,196.0
Mg,17.4
Mg,17.3
Mg,17.4
Y rt,25.6
Y rt,37.0
Y rt,25.5
Y rt,25.3
Y rt,25.4
Dy rt,24.7
Eu,7.9
FeO ht,34.2
Ti rt,39.0
Ti rt,50.5
Ti rt,49.8
Ti rt,50.2
U rt,225.3
Na rt,0.737779
Na rt,4.18246
Na rt,8.4
Pu ht1,25.0
Pu ht2,25.6
Pu rt,43.7
Pu rt,42.9
Pu rt,45.85
Sr ht/hp1,3.5
Sr rt,1.8
TiH2 rt,11.0
K rt,0.395427
K rt,1.02548
K rt,3.9
K rt,0.6
LaNi5,53.0
Li2S rt,34.57
Li2S rt,32.35
Lu,27.2
Lu,29.8
Lu,29.7
Lu,29.7
MgZn2,33.67
NbN ht2,333.0
TaN ht,168.54
TaN ht,179.0
TiN ht,1.4e-22
TiN ht,200.0
TiN ht,193.0
Yb rt,9.9
ZrRu,91.0
ZrRu,88.0
Sm rt,19.5
Ag0.82Al0.18,27.69
Mg0.25Ag0.75 ht,27.42
Ag0.89Sn0.11,27.39
Al4C3,129.0
CoAl rt,108.0
