formula,Temperature,sigma (S/cm)
ZnS rt,298.0,9.999999999999999e-10
ScF3 rt cub,298.0,1e-15
ScF3 rt cub,673.0,4.0000000000000003e-07
AgGaSe2 tet,298.0,10000.0
AgGaSe2 tet,50.0,20000.0
AgGaSe2 tet,303.0,0.1
AgGaSe2 tet,490.0,0.63
AgGaSe2 tet,570.0,11.5
LiNbO3 ht,1003.0,0.00034
LiNbO3 ht,1003.0,0.0083
LiNbO3 ht,1393.0,0.42
LiNbO3 ht,1003.0,0.00034
Er2[MoO4]3,873.0,1.2e-05
LiV2O5 ht2,298.0,0.001
LiV2O5 ht2,295.0,0.002
LiV2O5 ht2,295.0,0.005
LiV2O5 ht2,295.0,0.08
LiV2O5 ht2,295.0,0.0003
LiV2O5 ht2,300.0,0.001
LiV2O5 ht2,298.0,0.0008
LiV2O5 ht2,298.0,0.0005
LiV2O5 ht2,298.0,5e-07
LiV2O5 ht2,300.0,0.000224
YTaO4 ht,1273.0,0.0079
YTaO4 ht,1183.0,1e-05
Zr rt,298.0,22800.0
SrSnO3 rt,298.0,9.999999999999999e-10
Si rt,297.0,0.006
Si rt,600.0,0.16
Si rt,1375.0,110.0
Pt,300.0,88400.0
Co ht,5.0,727.0
Nb,4.5,12000000.0
Zr0.75Ti0.25PbO3 rt,306.0,3.16e-05
Zr0.75Ti0.25PbO3 rt,306.0,0.0056
Ag,300.0,500000.0
Ag,100.0,1000000.0
FeAl rt,298.0,30000.0
NiAl rt,298.0,7100.0
RuAl2 rt orth,0.46,0.21
RuAl2 rt orth,300.0,0.013
Ge,298.0,16000.0
Cu,78.0,499.0
Cu,293.0,59.1
Cu,423.0,8.2
Bi,1.5,1060.0
Bi,1.5,1060.0
Bi2O3 rt,753.0,1e-06
Bi2O3 rt,923.0,0.0001
Bi2O3 rt,762.0,0.0011
Bi2O3 rt,793.0,0.015
Bi2O3 rt,775.0,6.000000000000002e-08
Bi2O3 rt,875.0,0.00047
Bi2O3 rt,298.0,3.35e-07
BiO1.5 ht2,1023.0,1.0
BiO1.5 ht2,1073.0,2.0
BiO1.5 ht2,762.0,0.0011
BiO1.5 ht2,793.0,0.015
BiO1.5 ht2,1100.0,0.033
BiO1.5 ht2,990.0,0.033
B rhom1,333.0,3.55e-06
B rhom1,333.0,0.000399
B rhom1,300.0,9.000000000000001e-07
B rhom1,400.0,1e-06
B rhom1,300.0,5e-06
Li3B14,290.0,9.000000000000001e-07
Li3B14,770.0,0.0004
Li3B14,910.0,0.0025
Li3B14,640.0,4.5e-05
Cr2O3 rhom,623.0,1.04e-05
TiC,298.0,10000.0
TiC,298.0,16000.0
Cu2O rt,293.0,1e-06
CuO rt,300.0,0.19
