formula,Tc
CuAl2,0.65
Al,1.175
Al,5.7
Al,1.98
Al,1.98
Al,1.18
Al,1.16
Al,1.2
Al,1.0
Al,0.0
Al,8.57
Al,0.0
V rt,5.4
V rt,6.02
V rt,5.31
V rt,5.38
V rt,6.2
V rt,5.78
V rt,9.0
V rt,4.62
V rt,5.3
Ti ht,5.5
Ti ht,0.0
Rh,0.0
Rh,0.0
Ru rt,0.49
Ru rt,2.0
Ru rt,0.62
ScRu2,1.67
ScRu2,2.36
W rt,0.0154
W rt,4.1
W rt,9.0
W rt,0.004
Hf rt,0.128
Hf rt,0.1
Hf rt,0.19
WC0.5 ht2,2.95
HfV2 rt,9.1
HfV2 rt,9.7
HfV2 rt,9.6
HfV2 rt,9.15
HfV2 rt,9.0
V3Ge,5.8
V3Ge,6.1
V3Ge,5.3
V3Ge,6.5
V3Ge,1.0
V3Ge,6.46
V3Ge,6.03
V3Ge,6.01
V3Ge,11.0
V3Ge,6.104
V3Ge,11.2
V3Ge,6.0
V3Ge,6.0
V3Ge,4.5
V3Ge,3.0
V3Ge,1.2
V3Ge,6.5
PdSb,1.5
Ni,0.0
Zr2Fe ht,0.17
Zr2Fe ht,11.2
Mn stab ht3,0.04
Y hyp,25.0
Y hyp,23.0
Y hyp,0.0
Ta3.4Pt0.6,0.4
Ta3.4Pt0.6,0.4
P black,5.8
Fe rt,0.0
Zn rt,0.85
Zn rt,1.9
Zn rt,0.8
Zn rt,0.9
Zn rt,1.9
Zn rt,0.9
Zr rt,0.61
Zr rt,0.8
Zr rt,0.61
Zr ht/hp2,5.8
Zr ht/hp2,12.07
Zr ht/hp2,2.0
Zr ht/hp2,1.53
Pt,0.0
Pt,0.67
Co ht,0.0
Tl rt,2.38
Tl rt,2.96
Tl rt,1.95
Tl rt,1.95
Tl rt,0.22
Tl rt,2.42
Tl rt,2.38
Tl rt,1.87
Nb,9.25
Nb,10.1
Nb,9.26
Nb,9.16
Nb,5.8
Nb,3.9
Nb,8.5
Nb,9.301
Nb,9.31
Nb,9.0
Nb,9.0
Nb,10.0
Nb,10.0
Nb,9.26
Nb,8.9
Nb,7.6
Nb,9.07
Nb,8.77
Nb,9.25
Nb,9.2
Mo rt,0.915
Mo rt,8.0
Mo rt,0.9
Mo rt,0.8
Mo rt,0.76
Mo rt,0.0
Ag0.841Ga0.159,0.116
Ga,1.083
Ga,8.5
Ga,0.0
Ga,0.77
Ag0.815In0.185,0.0074
AgIn2,2.11
AgIn2,2.4
In tet,3.408
In tet,5.6
In tet,3.4
In tet,3.47
In tet,3.23
In tet,0.4
In tet,3.43
In tet,3.946
In tet,4.249
AgLa,1.062
AgLa,1.18
AgLa,0.94
AgLa,1.2
AgLa,1.062
AgLa,1.23
La ht1,6.0
La ht1,6.0
La ht1,5.93
La ht1,10.3
La ht1,6.06
La ht1,6.0
La ht1,6.0
La ht2,0.0
La rt,5.1
La rt,4.88
La rt,6.74
La rt,5.04
La rt,5.05
La rt,6.0
La rt,5.15
La rt,5.12
La rt,4.9
Ag,1.9
Ag,0.0
Hf ht,0.0
Mg28Al45,0.84
Mg28Al45,0.85
Re,1.697
Re,7.0
Re,1.7
Re,1.695
Re,1.684
Re,1.691
Re,2.0
Re,1.04
ScAl2,1.02
Sc ht,0.0
Sc ht,0.51
Sc rt,0.05
Sc rt,4.1
Sc rt,8.2
Al0.974Si0.026,3.0
Al0.974Si0.026,3.65
Al0.974Si0.026,4.4
Al0.974Si0.026,4.5
Ge,5.35
Au,0.0
AuSc,2.0
AuZr3,0.92
Ba,0.0
Ba,4.8
Ba,4.1
Cu,0.0
Cu,0.0
Li rt,15.384
Li rt,27.882
Li rt,29.893
Li rt,30.753
Li rt,24.652
Li rt,14.0
Li rt,0.0
Li rt,0.65
Cr rt,0.0
Be ht,0.0
Be rt,0.026
Be rt,9.75
Be rt,0.043
Hg lt/hp1,4.154
Hg lt/hp1,4.5
Hg lt/hp1,4.19
Hg lt/hp1,4.153
Hg lt/hp1,6.4
Hg lt/hp1,2.43
Be2Ti,2.0
Bi,6.6
NiBi3,9.5
NiBi3,5.2
NiBi3,4.06
NiBi3,4.2
NiBi3,4.1
NiBi3,4.5
NiBi3,4.1
NiBi3,4.06
NiBi3,4.06
NiBi3,4.05
LiB rt,12.5
Mo2B,5.07
Mo2B,4.74
Ca ht/hp1,37.0
Ca ht/hp1,0.0
Ca rt,0.0
Sn rt,3.722
Sn rt,6.0
Sn rt,4.0
Sn rt,3.74
Sn rt,3.66
Sn rt,5.8
Sn rt,6.82
CeCo2,0.84
CeCo2,1.0
CeCo2,0.82
CeCo2,1.48
Ce ht1/hp1,0.022
Ce ht1/hp1,0.02
Ce ht1/hp1,0.045
Ce ht1/hp1,0.8
Ce ht1/hp1,1.0
Cu2Ce,0.17
CeRu2 rt,6.2
CeRu2 rt,6.0
CeRu2 rt,5.5
CeRu2 rt,6.55
CeRu2 rt,6.18
CeRu2 rt,6.17
CeRu2 rt,6.2
CeRu2 rt,6.0
CeRu2 rt,5.0
CeRu2 rt,6.21
CeRu2 rt,6.1
CeRu2 rt,5.3
CeRu2 rt,6.1
CeRu2 rt,6.55
CeRu2 rt,6.15
CeRu2 rt,6.1
CeRu2 rt,6.2
CeRu2 rt,6.17
CeRu2 rt,6.2
Ta,4.47
Ta,4.51
Ta,4.48
Ta,0.0
Ta,5.06
MoC0.5 ht1,6.1
MoC0.5 ht2,6.75
MoC0.5 ht2,9.7
MoC0.5 ht2,2.7
MoC0.67 ht,7.9
MoC0.67 ht,8.4
MoC0.67 ht,7.5
MoC0.67 ht,7.8
MoC0.70 ht,14.3
MoC0.70 ht,11.83
Hf2Co ht,0.56
ZrCo2,0.0
Cr0.7Re0.3,3.1
Cr0.7Re0.3,3.4
Cr0.4Re0.6,2.15
TiC,0.05
TiC,0.5
Cu6La rt,0.042
CuLa,5.85
CuLa,6.15
Mg,0.0
CuY rt,0.47
CuY rt,0.33
Y rt,1.3
Y rt,1.7
Y rt,2.5
Y rt,0.3
Y rt,15.9
Y rt,2.8
Y rt,19.8
Sn lt,3.7
Ti rt,0.4
Ti rt,1.3
Ti rt,0.4
Ti rt,0.002
U6Fe,4.03
U6Fe,3.99
U6Fe,3.764
U6Fe,3.705
