formula,Temperature,ThermalCond W/m.K
BeS,298,157.0
CdS,298,19.9
GaN,298,181.0
ZnO,298,64.5
ZnSe,298,15.6
BAs,298,2940.0
ZnO,298,64.5
BeO,298,447.0
GaAs,298,32.1
SiC,298,372.0
ZnS,298,36.5
GaP,298,104.0
BeO,298,447.0
InAs,298,25.2
CuBr,298,2.75
InP,298,85.2
ZnTe,298,18.9
CuI,298,7.1
CuI,298,7.1
GaSb,298,32.5
MgTe,298,14.7
CuCl,298,1.26
AlSb,298,77.4
GaN,298,181.0
AgI,298,2.44
AlN,298,235.0
AlP,298,84.0
InSb,298,13.8
BeTe,298,90.4
CdTe,298,6.67
CdSe,298,11.4
CuCl,298,1.26
CdS,298,19.9
BP,298,420.0
SiC,298,372.0
BeSe,298,108.0
AlN,298,235.0
CuH,298,14.4
CuBr,298,2.75
InN,298,105.0
AgI,298,2.44
AlAs,298,86.8
Ti0.99Nb0.01NiSn,400,5.8617
Cu1.98Se,1000,1.015
Bi2Te3,300,4.016716418
Cr1.3Mo6S8,700,2.6905
Bi1.2S1.2Ti2S4,300,2.94
Ba0.4Sr0.6PbO3,300,2.2948
SrTi0.8Nb0.2O3,400,8.62
Mg2Si0.997Bi0.003,300,6.16
Zn4Sb3,400,0.75
Tl0.01Pb0.99Te,400,1.55169
KBi6.33S10,300,1.3
Pb1.8S1.8Ti2S4,400,2.51
La2.74Te4,700,1.0
In0.2Co4Sb12,300,2.4757700000000000
Ba7SrAl16Si30,700,2.46
CuCr0.96Mg0.04O2,1000,6.8542
Tl2GeTe5,300,9.07
Zn0.9975Al0.0025O,1000,1.9089
Mo3Te4,300,3.81187
SrDy0.08Ti0.92O3,300,4.195
Ca0.9Ho0.1MnO3,700,1.518351106
Zn0.98Al0.02O,400,27.2
Ni2.0Mo6S8,700,4.2372
In1.994Ge0.006O3,300,9.71545
Sr3Ti1.6Nb0.4O7,1000,2.14
La3Te3.35Bi0.65,700,1.56
Zn0.9975Al0.0025O,700,2.283
Ca3AlSb3,1000,0.6920000000000000
La2.99Te4,700,2.84
WO2.9,300,3.0834
SrNd0.2Ti0.8O3,300,5.53
La3Te3.8Sb0.2,400,2.58
Mg2Si0.993Bi0.007,400,5.68
Sr0.61Ba0.39Nb2O6,400,2.0205
TiNiSn,300,6.0761
In1.8Ge0.2O3,400,2.61135
Fe1.96Ti0.04O3,300,7.82
Mg2Si0.999Bi0.001,700,3.66
